,n_value,accuracy_1,accuracy_5,accuracy_10
259,1300,631,1128,1316
260,1305,631,1128,1316
261,1310,631,1128,1316
262,1315,631,1128,1316
263,1320,631,1128,1316
264,1325,631,1128,1316
265,1330,631,1128,1316
266,1335,631,1128,1316
267,1340,631,1128,1316
268,1345,631,1128,1316
269,1350,631,1128,1316
270,1355,631,1128,1316
271,1360,631,1128,1316
272,1365,631,1128,1316
273,1370,631,1128,1316
274,1375,631,1128,1316
275,1380,631,1128,1316
276,1385,631,1128,1316
277,1390,631,1128,1316
278,1395,631,1128,1316
279,1400,631,1128,1316
280,1405,631,1128,1316
281,1410,631,1128,1316
282,1415,631,1128,1316
283,1420,631,1128,1316
284,1425,631,1128,1316
285,1430,631,1128,1316
286,1435,631,1128,1316
287,1440,631,1128,1316
288,1445,631,1128,1316
289,1450,631,1128,1316
290,1455,631,1128,1316
291,1460,631,1128,1316
292,1465,631,1128,1316
293,1470,631,1128,1316
294,1475,631,1128,1316
295,1480,631,1128,1316
296,1485,631,1128,1316
297,1490,631,1128,1316
298,1495,631,1128,1316
299,1500,631,1128,1316
300,1505,631,1128,1316
301,1510,631,1128,1316
302,1515,631,1128,1316
303,1520,631,1128,1316
304,1525,631,1128,1316
305,1530,631,1128,1316
306,1535,631,1128,1316
307,1540,631,1128,1316
308,1545,631,1128,1316
309,1550,631,1128,1316
310,1555,631,1128,1316
311,1560,631,1128,1316
312,1565,631,1128,1316
313,1570,631,1128,1316
314,1575,631,1128,1316
315,1580,631,1128,1316
316,1585,631,1128,1316
317,1590,631,1128,1316
318,1595,631,1128,1316
319,1600,631,1128,1316
320,1605,631,1128,1316
321,1610,631,1128,1316
322,1615,631,1128,1316
323,1620,631,1128,1316
324,1625,631,1128,1316
325,1630,631,1128,1316
326,1635,631,1128,1316
327,1640,631,1128,1316
328,1645,631,1128,1316
329,1650,631,1128,1316
330,1655,631,1128,1316
331,1660,631,1128,1316
332,1665,631,1128,1316
333,1670,631,1128,1316
334,1675,631,1128,1316
