,n_value,accuracy_1,accuracy_5,accuracy_10
259,1300,631,1128,1311
260,1305,631,1128,1311
261,1310,631,1128,1311
262,1315,631,1128,1311
263,1320,631,1128,1311
264,1325,631,1128,1311
265,1330,631,1128,1311
266,1335,631,1128,1311
267,1340,631,1128,1311
268,1345,631,1128,1311
269,1350,631,1128,1311
270,1355,631,1128,1311
271,1360,631,1128,1311
272,1365,631,1128,1311
273,1370,631,1128,1311
274,1375,631,1128,1311
275,1380,631,1128,1311
276,1385,631,1128,1311
277,1390,631,1128,1311
278,1395,631,1128,1311
279,1400,631,1128,1311
280,1405,631,1128,1311
281,1410,631,1128,1311
282,1415,631,1128,1311
283,1420,631,1128,1311
284,1425,631,1128,1311
285,1430,631,1128,1311
286,1435,631,1128,1311
287,1440,631,1128,1311
288,1445,631,1128,1311
289,1450,631,1128,1311
290,1455,631,1128,1311
291,1460,631,1128,1311
292,1465,631,1128,1311
293,1470,631,1128,1311
294,1475,631,1128,1311
295,1480,631,1128,1311
296,1485,631,1128,1311
297,1490,631,1128,1311
298,1495,631,1128,1311
299,1500,631,1128,1311
300,1505,631,1128,1311
301,1510,631,1128,1311
302,1515,631,1128,1311
303,1520,631,1128,1311
304,1525,631,1128,1311
305,1530,631,1128,1311
306,1535,631,1128,1311
307,1540,631,1128,1311
308,1545,631,1128,1311
309,1550,631,1128,1311
310,1555,631,1128,1311
311,1560,631,1128,1311
312,1565,631,1128,1311
313,1570,631,1128,1311
314,1575,631,1128,1311
315,1580,631,1128,1311
316,1585,631,1128,1311
317,1590,631,1128,1311
318,1595,631,1128,1311
319,1600,631,1128,1311
320,1605,631,1128,1311
321,1610,631,1128,1311
322,1615,631,1128,1311
323,1620,631,1128,1311
324,1625,631,1128,1311
325,1630,631,1128,1311
326,1635,631,1128,1311
327,1640,631,1128,1311
328,1645,631,1128,1311
329,1650,631,1128,1311
330,1655,631,1128,1311
331,1660,631,1128,1311
332,1665,631,1128,1311
333,1670,631,1128,1311
334,1675,631,1128,1311
335,1680,631,1128,1311
336,1685,631,1128,1311
337,1690,631,1128,1311
338,1695,631,1128,1311
339,1700,631,1128,1311
340,1705,631,1128,1311
341,1710,631,1128,1311
342,1715,631,1128,1311
343,1720,631,1128,1311
344,1725,631,1128,1311
345,1730,631,1128,1311
346,1735,631,1128,1311
347,1740,631,1128,1311
348,1745,631,1128,1311
349,1750,631,1128,1311
350,1755,631,1128,1311
351,1760,631,1128,1311
352,1765,631,1128,1311
353,1770,631,1128,1311
354,1775,631,1128,1311
355,1780,631,1128,1311
356,1785,631,1128,1311
357,1790,631,1128,1311
358,1795,631,1128,1311
359,1800,631,1128,1311
360,1805,631,1128,1311
361,1810,631,1128,1311
362,1815,631,1128,1311
363,1820,631,1128,1311
364,1825,631,1128,1311
365,1830,631,1128,1311
366,1835,631,1128,1311
367,1840,631,1128,1311
368,1845,631,1128,1311
369,1850,631,1128,1311
370,1855,631,1128,1311
371,1860,631,1128,1311
372,1865,631,1128,1311
373,1870,631,1128,1311
374,1875,631,1128,1311
375,1880,631,1128,1311
376,1885,631,1128,1311
377,1890,631,1128,1311
378,1895,631,1128,1311
379,1900,631,1128,1311
380,1905,631,1128,1311
381,1910,631,1128,1311
382,1915,631,1128,1311
383,1920,631,1128,1311
384,1925,631,1128,1311
385,1930,631,1128,1311
386,1935,631,1128,1311
387,1940,631,1128,1311
388,1945,631,1128,1311
389,1950,631,1128,1311
390,1955,631,1128,1311
391,1960,631,1128,1311
392,1965,631,1128,1311
393,1970,631,1128,1311
394,1975,631,1128,1311
395,1980,631,1128,1311
396,1985,631,1128,1311
397,1990,631,1128,1311
398,1995,631,1128,1311
399,2000,631,1128,1311
400,2005,631,1128,1311
401,2010,631,1128,1311
402,2015,631,1128,1311
403,2020,631,1128,1311
404,2025,631,1128,1311
405,2030,631,1128,1311
406,2035,631,1128,1311
407,2040,631,1128,1311
