STU_ID_PROXY,COURSE_CREDITS_REQ_bach,FACULTY_CODE_bach,LOCATION_CODE_bach,STUDY_YEAR_bach,N_SUBJECTS_bach,CODE_DESCR_bach,top5_bach_bach,COURSE_CODE,COURSE_CREDITS_REQ_mast,FACULTY_CODE_mast,LOCATION_CODE_mast,STUDY_YEAR_mast,N_SUBJECTS_mast,CODE_DESCR_mast,IS_GENDER_MALE,AGE_BAND,STATE,IS_INTERNATIONAL,HOME_LANGUAGE,ATAR_BAND,LANGUAGE_TEST_TYPE,LANGUAGE_TEST_SCORE
99923,300.0,603,U,2019,9,Bachelor of Science,BSC,,,,,,,,0,18,VIC,0,English,Band3 - 85.00 - 89.95,Not Entered, 
151506,300.0,100,U,2019,8,Bachelor of Arts,BOA,,,,,,,,0,18,TAS,0,English,Band6 - 98.00 - 99.85,Not Entered, 
99931,300.0,603,U,2019,6,Bachelor of Science,BSC,,,,,,,,1,18,VIC,0,English,Band5 - 95.00 - 97.95,Not Entered, 
99943,300.0,300,U,2019,2,Bachelor of Commerce,BOC,,,,,,,,0,18,VIC,1,Not English,Band5 - 95.00 - 97.95,Not Entered, 
151494,300.0,603,U,2019,9,Bachelor of Science,BSC,,,,,,,,0,19,VIC,0,English,Band1 - <80,Not Entered, 
99958,300.0,300,U,2019,4,Bachelor of Commerce,BOC,,,,,,,,1,20-21,,1,English,,Not Entered, 
151412,300.0,100,U,2019,3,Bachelor of Arts,BOA,,,,,,,,0,<18,,1,Not English,,Not Entered, 
100027,300.0,603,U,2019,3,Bachelor of Science,BSC,,,,,,,,1,18,VIC,0,English,Band4 - 90.00 - 94.95,Not Entered, 
100120,300.0,603,U,2019,2,Bachelor of Science,BSC,,,,,,,,1,<18,VIC,0,Not English,Band5 - 95.00 - 97.95,Not Entered, 
100199,300.0,702,U,2019,4,Bachelor of Environments,BOE,,,,,,,,0,18,VIC,1,Not English,Band3 - 85.00 - 89.95,Not Entered, 
100210,300.0,702,U,2019,4,Bachelor of Environments,BOE,,,,,,,,1,19,,1,Not English,,Not Entered, 
99738,300.0,100,U,2019,2,Bachelor of Arts,BOA,,,,,,,,1,18,VIC,0,English,Band4 - 90.00 - 94.95,Tertiary English, 
98690,300.0,100,U,2019,4,Bachelor of Arts,BOA,,,,,,,,0,18,,1,Not English,Band4 - 90.00 - 94.95,Not Entered, 
99707,100.0,100,U,2019,1,Bachelor of Arts (Degree with Honours),BOA,,,,,,,,1,<18,NT,0,English,Band1 - <80,Not Entered, 
99650,300.0,100,U,2019,9,Bachelor of Arts,BOA,,,,,,,,0,18,VIC,0,English,Band4 - 90.00 - 94.95,Not Entered, 
98850,300.0,603,U,2019,8,Bachelor of Science,BSC,,,,,,,,1,18,VIC,0,Not English,Band1 - <80,Not Entered, 
98917,100.0,603,U,2019,4,Bachelor of Science (Degree with Honours),BSC,,,,,,,,1,22-24,VIC,0,English,,Not Entered, 
98990,300.0,100,U,2019,15,Bachelor of Arts,BOA,,,,,,,,0,19,,1,Not English,,Not Entered, 
151925,300.0,300,U,2019,8,Bachelor of Commerce,BOC,,,,,,,,1,20-21,,1,English,,Not Entered, 
151924,300.0,603,U,2019,6,Bachelor of Science,BSC,,,,,,,,1,18,VIC,0,Not English,Band2 - 80.00 - 84.95,Not Entered, 
99066,300.0,603,U,2019,8,Bachelor of Science,BSC,,,,,,,,0,18,,1,Not English,,Tertiary English, 
99079,300.0,100,U,2019,8,Bachelor of Arts,BOA,,,,,,,,0,18,,1,Not English,,IELTS,7
99157,300.0,603,U,2019,8,Bachelor of Science,BSC,,,,,,,,1,18,VIC,0,English,Band6 - 98.00 - 99.85,Tertiary English, 
99219,300.0,603,U,2019,2,Bachelor of Science,BSC,,,,,,,,1,18,VIC,0,English,Band4 - 90.00 - 94.95,Not Entered, 
99226,300.0,300,U,2019,3,Bachelor of Commerce,BOC,,,,,,,,1,18,VIC,0,English,Band6 - 98.00 - 99.85,Not Entered, 
